layer,bits,group_size,numel,mse,nmse,max_abs_error,mean_scale
model.layers.11.self_attn.k_proj,4,128,1048576,1.0890692465181928e-05,0.01537222774042045,0.026646196842193604,0.010533125139772892
model.layers.11.self_attn.v_proj,4,128,1048576,1.0376910722698085e-05,0.01573295370606198,0.0153459832072258,0.010836430825293064
model.layers.11.self_attn.o_proj,4,128,2097152,7.875420124037191e-06,0.014515713600153978,0.0281110480427742,0.008958724327385426
model.layers.11.mlp.gate_proj,4,128,3145728,1.3911981416943794e-05,0.014417807947169013,0.0362723171710968,0.012292231433093548
model.layers.11.mlp.up_proj,4,128,3145728,1.05625695141498e-05,0.014520786832589856,0.0198974609375,0.010996348224580288
model.layers.11.mlp.down_proj,4,128,3145728,1.0281915213757506e-05,0.016359332906449375,0.0287039615213871,0.010796647518873215
model.layers.12.self_attn.q_proj,4,128,2097152,1.328593680227641e-05,0.014516140200263013,0.0263671875,0.011526724323630333
model.layers.12.self_attn.k_proj,4,128,1048576,9.650224455981515e-06,0.01463512887534157,0.026646211743354797,0.010095932520925999
model.layers.12.self_attn.v_proj,4,128,1048576,1.0045946510217618e-05,0.01447280189999289,0.0111258365213871,0.010813615284860134
model.layers.12.self_attn.o_proj,4,128,2097152,7.692869985476136e-06,0.014222834104367971,0.0205078125,0.009255897253751755
model.layers.12.mlp.gate_proj,4,128,3145728,1.2652897567022592e-05,0.014335845001977175,0.022705078125,0.011770476587116718
model.layers.12.mlp.up_proj,4,128,3145728,1.0342249879613519e-05,0.014603257827372824,0.0203857421875,0.010882347822189331
model.layers.12.mlp.down_proj,4,128,3145728,1.0066438941673065e-05,0.016147849012069206,0.03466796875,0.010641473345458508
model.layers.13.self_attn.q_proj,4,128,2097152,1.2271056220924947e-05,0.014473242737775623,0.0329938605427742,0.010957363061606884
model.layers.13.self_attn.k_proj,4,128,1048576,8.614954822405707e-06,0.014621913385860223,0.021240234375,0.009544119238853455
model.layers.13.self_attn.v_proj,4,128,1048576,1.0017023669206537e-05,0.014494415888818665,0.0109514519572258,0.010786491446197033
model.layers.13.self_attn.o_proj,4,128,2097152,7.266209195222473e-06,0.014310701769364482,0.0175083689391613,0.008953510783612728
model.layers.13.mlp.gate_proj,4,128,3145728,1.1882152951632937e-05,0.014607512555655823,0.036551326513290405,0.011309269815683365
model.layers.13.mlp.up_proj,4,128,3145728,9.55349181216055e-06,0.014659518947448776,0.0172119140625,0.010451664216816425
model.layers.13.mlp.down_proj,4,128,3145728,9.634689680145433e-06,0.016712161654603475,0.032470703125,0.010422526858747005
model.layers.14.self_attn.q_proj,4,128,2097152,1.2008684279862791e-05,0.014722151952254322,0.0245535708963871,0.010950394906103611
model.layers.14.self_attn.k_proj,4,128,1048576,8.80968764249701e-06,0.015069116771324595,0.024553567171096802,0.009486713446676731
model.layers.14.self_attn.v_proj,4,128,1048576,9.010374924400821e-06,0.01460504790414529,0.010846823453903198,0.010224789381027222
model.layers.14.self_attn.o_proj,4,128,2097152,6.858213055238593e-06,0.014265821515596386,0.0199497789144516,0.008728642016649246
model.layers.14.mlp.gate_proj,4,128,3145728,1.1015282022223497e-05,0.014818079781525169,0.0310407355427742,0.010847712866961956
model.layers.14.mlp.up_proj,4,128,3145728,9.01786855441363e-06,0.01486793466063185,0.0239955335855484,0.010128817521035671
model.layers.14.mlp.down_proj,4,128,3145728,9.55617482153078e-06,0.017146264164458812,0.024658203125,0.010389238595962524
model.layers.15.self_attn.q_proj,4,128,2097152,1.2384560250211507e-05,0.014603923086484977,0.0329938605427742,0.01103920117020607
model.layers.15.self_attn.k_proj,4,128,1048576,7.66669381846441e-06,0.014717401594621352,0.0189383365213871,0.00906914472579956
model.layers.15.self_attn.v_proj,4,128,1048576,1.0123407264472917e-05,0.0151440762938556,0.0179268978536129,0.01073503028601408
model.layers.15.self_attn.o_proj,4,128,2097152,7.688197001698427e-06,0.014451995272981438,0.0227225162088871,0.00918889231979847
